Date,Tank_1,Tank_2,Tank_3,Tank_4,Tank_5,Tank_6,Tank_7,Tank_8,Tank_9,Tank_10,Tank_11,Tank_12,Tank_13,Tank_14,Tank_15,Tank_16,Tank_17,Tank_18,Tank_19,Tank_20,Tank_21,Tank_22,Tank_23,Tank_24,Tank_25,Tank_26,Tank_27,Tank_28,Tank_29,Tank_30,Tank_31,Tank_32,Tank_33,Tank_34,Tank_35,Tank_36,Note
20251002,40,40,44,45,40,40,39,40,40,40,41,40,40,40,40,40,41,40,40,40,41,40,42,40,41,39,40,40,40,44,40,40,42,40,42,40,"equal to (count on 20251003) + 2, today was the end of prime when 2 samples were taken from each tank"
20251003,38,38,42,43,38,38,37,38,38,38,39,38,38,38,38,38,39,38,38,38,39,38,40,38,39,37,38,38,38,42,38,38,40,38,40,38,starting count taken today 
20251003_post_challenge,NA,NA,NA,39,NA,34,NA,34,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,34,35,NA,NA,34,35,NA,34,NA,NA,38,34,NA,NA,NA,NA,NA,only relevant for the 12 tanks for 24 hour recovery before the challenge; equalt to (count on 20251003) - 4
20251010_post_challenge,34,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,34,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,34,34,NA,NA,34,36,NA,36,34,only relevant for the 12 tanks for 1 week recovery before the challenge; equalt to (count on 20251003) - 4
